Brillouin Spectrum
X UNIT,MHz
Y UNIT,dB
RANGE,1
PULSE WIDTH[ns],10
AVERAGE,14
DATA NUM,20000
SAMPLE START POINT,   0.000
RESOLUTION[m],0.05
IOR,1.46200
START FREQUENCY,10650
SWEEP FREQUENCY,10
SAMPLE COUNT,50
SECT COUNT,1
FILTER,OFF
Vb(0) MODE,CONTINUE
MEASUREMENT DISTANCE,   0.000
MEASUREMENT RANGE,   0.000
LOSS CALCULATION,LOSS
LABEL,
SECT RANGE[0],   0.000
SECT FIBER KIND[0],SMF
SECT FREQUENCY[0],10857.1
SECT COEFFICIENT[0],4.78
CURSOR DISTANCE,   0.000
CURSOR FREQUENCY,10650.000
MARKER 1,   0.000
MARKER 2,   0.000
MARKER 3,   0.000
MARKER 4,   0.000
MARKER 5,   0.000
MARKER 6,   0.000
REF MARKER,   0.000
LOSS MARKER 1,   0.000
LOSS MARKER 2,   0.000
LOSS MARKER 3,   0.000
LOSS MARKER Y,   0.000
OPT-OUT MODE,HIGH
DATA
80.27668
80.92018
81.32140
81.49932
81.86556
82.66578
82.90416
83.47328
84.11620
85.10464
85.47770
86.28652
86.62384
87.38078
87.74574
88.05836
88.44750
88.67312
88.85720
88.75302
88.52930
88.85314
88.99028
88.41964
88.77864
88.23870
88.09790
87.66464
87.19688
86.42574
85.98292
85.70910
85.12906
84.78474
84.01624
83.87832
83.26946
82.47702
82.07116
81.58674
81.59834
80.77638
80.94612
80.84334
80.73436
80.55488
80.60538
80.00538
80.36108
80.17200
